iter	Recall	Logloss
0	0.6546177139	0.6928550212
1	0.6539080242	0.6925752038
2	0.6435465556	0.6922806902
3	0.6409443603	0.6919961187
4	0.6401873581	0.6917066714
5	0.6389099167	0.6914337395
6	0.6386260409	0.6911435692
7	0.6395249811	0.6908504247
8	0.6413228615	0.6905688512
9	0.6421271764	0.690284675
10	0.6398088569	0.6900034079
11	0.6411336109	0.68970862
12	0.6407077971	0.6894379137
13	0.6407077971	0.6891451498
14	0.6391464799	0.6888737686
15	0.6396196064	0.6885883204
16	0.6414647994	0.6882995202
17	0.6410862983	0.6880156246
18	0.641512112	0.6877303862
19	0.6421271764	0.6874386258
20	0.6423637396	0.68715666
21	0.6442562453	0.6868707711
22	0.6421271764	0.6865881231
23	0.6425056775	0.6863241536
24	0.642174489	0.6860482405
25	0.6422218017	0.6857624474
26	0.641512112	0.6854842899
27	0.6408970477	0.6852123004
28	0.641512112	0.684932844
29	0.6412755488	0.6846657904
30	0.6411336109	0.6843829592
31	0.6410862983	0.6841066797
32	0.6413228615	0.6838240806
33	0.640991673	0.6835475735
34	0.6416067373	0.6832629863
35	0.641512112	0.6830072381
36	0.6421271764	0.6827337362
37	0.6424583649	0.68247
38	0.6426003028	0.6821988717
39	0.6438777441	0.6819167545
40	0.6445874338	0.6816557573
41	0.6447766843	0.6814084347
42	0.6447293717	0.6811416151
43	0.6451551855	0.6808636684
44	0.6449659349	0.6805843415
45	0.645344436	0.6803232786
46	0.645344436	0.6800610579
47	0.6443981832	0.6798033453
48	0.6447293717	0.6795299247
49	0.6445401211	0.6792571634
50	0.6439250568	0.6789900261
51	0.6442089326	0.6787217528
52	0.6447293717	0.6784603182
53	0.6437831188	0.6781893745
54	0.6435938683	0.6779441916
55	0.6439250568	0.6776748072
56	0.6442562453	0.6774083257
57	0.6445401211	0.6771436856
58	0.6442562453	0.6768759226
59	0.6441143073	0.6766104209
60	0.6439250568	0.6763531133
61	0.6440196821	0.6760949625
62	0.6443035579	0.675847833
63	0.6438304315	0.6755912204
64	0.6442089326	0.6753195829
65	0.6447293717	0.6750471184
66	0.6451551855	0.6747921046
67	0.6443981832	0.6745274312
68	0.6443508706	0.6742794532
69	0.644682059	0.6740118909
70	0.6446347464	0.6737577688
71	0.6446347464	0.673502478
72	0.644682059	0.6732440026
73	0.6449659349	0.6729777883
74	0.6452971234	0.6727171084
75	0.6452498107	0.672483588
76	0.6450605602	0.6722408394
77	0.64416162	0.6719816485
78	0.6442089326	0.6717348611
79	0.6443035579	0.6715027574
80	0.6439723694	0.6712646258
81	0.6438777441	0.6710175697
82	0.6436884936	0.6707701094
83	0.6435938683	0.6705220744
84	0.6437831188	0.6702708976
85	0.6441143073	0.6700315423
86	0.6443035579	0.6697949916
87	0.64416162	0.6695413149
88	0.6442562453	0.6692854732
89	0.64416162	0.6690481624
90	0.6444454958	0.6688010522
91	0.6444928085	0.6685601785
92	0.6443508706	0.6683181216
93	0.6445401211	0.6680749563
94	0.6443508706	0.6678308586
95	0.6443981832	0.6676056692
96	0.6442562453	0.6673646737
97	0.6441143073	0.6671360299
98	0.6439250568	0.6669066013
99	0.6440196821	0.666653382
100	0.6437358062	0.6664126044
