iter	Passed	Remaining
0	67	33847
1	118	29493
2	230	38205
3	308	38235
4	410	40624
5	454	37420
6	549	38705
7	651	40073
8	716	39073
9	820	40203
10	913	40615
11	1014	41261
12	1064	39876
13	1169	40582
14	1221	39494
15	1324	40076
16	1435	40773
17	1531	41013
18	1635	41393
19	1740	41776
20	1840	41977
21	1948	42345
22	2050	42534
23	2102	41696
24	2209	41985
25	2311	42134
26	2409	42215
27	2469	41626
28	2573	41791
29	2624	41120
30	2727	41259
31	2828	41369
32	2930	41472
33	3028	41503
34	3128	41566
35	3174	40919
36	3273	40963
37	3321	40382
38	3397	40164
39	3496	40210
40	3563	39897
41	3611	39377
42	3671	39022
43	3774	39117
44	3872	39152
45	3926	38755
46	4003	38585
47	4103	38637
48	4205	38708
49	4305	38746
50	4405	38786
51	4504	38806
52	4608	38869
53	4726	39040
54	4776	38650
55	4878	38683
56	4981	38714
57	5084	38744
58	5191	38805
59	5296	38841
60	5373	38675
61	5473	38670
62	5528	38345
63	5596	38124
64	5701	38157
65	5801	38147
66	5861	37883
67	5966	37907
68	6064	37883
69	6161	37852
70	6262	37841
71	6366	37843
72	6470	37846
73	6571	37827
74	6673	37817
75	6721	37497
76	6818	37455
77	6919	37438
78	7018	37402
79	7067	37104
80	7120	36834
81	7217	36791
82	7289	36620
83	7391	36605
84	7489	36565
85	7550	36348
86	7610	36129
87	7711	36104
88	7814	36087
89	7910	36037
90	8010	36002
91	8111	35971
92	8217	35962
93	8318	35929
94	8398	35805
95	8444	35538
96	8539	35477
97	8588	35231
98	8639	34994
99	8741	34964
100	8839	34919
