iter	Recall	Logloss
0	0.6546177139	0.6789602715
1	0.6546650265	0.6667157639
2	0.6463853142	0.6549922639
3	0.6412755488	0.6448930095
4	0.6410389856	0.635915849
5	0.6452498107	0.6273956766
6	0.6454390613	0.6196025297
7	0.6474735049	0.6123501023
8	0.6517789553	0.606171308
9	0.6500757002	0.6002019967
10	0.6481358819	0.5949250346
11	0.6487036336	0.5902911415
12	0.6482778198	0.5860270822
13	0.650501514	0.5829842169
14	0.653151022	0.579277553
15	0.6523940197	0.5758564902
16	0.6542392127	0.5728983436
17	0.6545230886	0.5701868186
18	0.6593962907	0.5678769977
19	0.6603425435	0.5659687231
20	0.6566521575	0.5645386519
21	0.6571252839	0.56250785
22	0.6594436033	0.5606882442
23	0.6597747918	0.5595535775
24	0.6549015897	0.5586558416
25	0.6584973505	0.5572602068
26	0.6605791067	0.5564137444
27	0.6597747918	0.5554693635
28	0.6620931113	0.5540448033
29	0.6611468584	0.5528887549
30	0.6586392884	0.5518212077
31	0.6643641181	0.5507697201
32	0.6641748675	0.5499222768
33	0.6635124905	0.5490346051
34	0.6625189251	0.5482236873
35	0.6635598032	0.5474687123
36	0.6629447388	0.5465426589
37	0.662660863	0.5456453174
38	0.6641275549	0.5448550517
39	0.6654049962	0.5446272151
40	0.6665404996	0.5438684753
41	0.6665404996	0.5436916164
42	0.6669663134	0.5430332617
43	0.6676286904	0.5423951604
44	0.667676003	0.5418179508
45	0.6684803179	0.5412969748
46	0.6687168812	0.5406908255
47	0.66833838	0.540277325
48	0.6689061317	0.5397744826
49	0.6692846329	0.5394056466
50	0.6698050719	0.5388529465
51	0.6697577593	0.5387792895
52	0.6706566995	0.5384268603
53	0.6705620742	0.5379739708
54	0.6706566995	0.5377882811
55	0.6706093868	0.5373249747
56	0.6704674489	0.5367885549
57	0.6707986374	0.5363598957
58	0.6703728236	0.536045474
59	0.6704674489	0.5356624822
60	0.6711298259	0.5353321089
61	0.6718868282	0.5348274813
62	0.6717448902	0.5344716414
63	0.6727857684	0.5340231114
64	0.6734008327	0.5335958054
65	0.6734008327	0.5331979879
66	0.6736847086	0.5331795204
67	0.6740632097	0.5327976914
68	0.6745363361	0.5323725287
69	0.6749621499	0.5318039379
70	0.6755772142	0.5314611817
71	0.6760503407	0.530886899
72	0.6760503407	0.5307856406
73	0.6759557154	0.5306070443
74	0.6761449659	0.5303382996
75	0.6765234671	0.530226456
76	0.6767127176	0.5299600472
77	0.6768073429	0.5296060448
78	0.6774697199	0.5292398359
79	0.6778955337	0.5287335804
80	0.6778955337	0.5287114914
81	0.6780374716	0.5284818559
82	0.6782740348	0.528169778
83	0.6782740348	0.5281592358
84	0.6787944739	0.5278130256
85	0.6790310371	0.5274773819
86	0.679172975	0.5274687433
87	0.6794095382	0.5273332663
88	0.6794095382	0.5273171681
89	0.6793622256	0.5271321917
90	0.6795987888	0.5267528479
91	0.6799299773	0.5265515029
92	0.6798826646	0.5265455342
93	0.6799772899	0.5261970102
94	0.6802611658	0.5260008884
95	0.6802138531	0.5259951659
96	0.6802138531	0.5258274739
97	0.6803084784	0.5257267344
98	0.6801192279	0.5256380605
99	0.6803557911	0.525398655
100	0.680497729	0.5251026251
101	0.6808289175	0.5247378218
102	0.6807342922	0.524725147
103	0.6811127933	0.5245865556
104	0.6813020439	0.5245638612
105	0.6812547313	0.5245627875
106	0.6816332324	0.5243577198
107	0.681680545	0.5242158959
108	0.681680545	0.5242141737
109	0.681822483	0.5241376944
110	0.68248486	0.523683835
111	0.6826741105	0.5235151384
112	0.683005299	0.5233071768
113	0.6829106737	0.5232370325
114	0.6832418622	0.5231019379
115	0.6833838002	0.5227530791
116	0.6832891749	0.5227501796
117	0.6832891749	0.522743477
118	0.6836203634	0.5223028179
119	0.6840461771	0.5219954618
120	0.6838096139	0.5218076767
121	0.6841881151	0.5214642375
122	0.6842827403	0.5212978215
123	0.6842827403	0.5210501387
124	0.6843773656	0.5208196789
125	0.6847085541	0.5207782517
126	0.6846139288	0.5206031754
127	0.6846612415	0.5205554358
128	0.6846612415	0.5205522663
129	0.6850397426	0.520291943
130	0.6852289932	0.5200278379
131	0.6856074943	0.5197467926
132	0.6859859955	0.5195903715
133	0.6861279334	0.5193011478
134	0.6862225587	0.519141447
135	0.686175246	0.5190909282
136	0.6862225587	0.5189130643
137	0.6862698713	0.5189056704
138	0.6862698713	0.5189056639
139	0.6859859955	0.5188934522
140	0.6860333081	0.5187618655
141	0.6861279334	0.5186475777
142	0.6861279334	0.5186475721
143	0.686175246	0.5186309636
144	0.6864118092	0.5183848948
145	0.6862225587	0.5180975573
146	0.6862225587	0.5179800086
147	0.6861279334	0.5176448873
148	0.6861279334	0.5176445972
149	0.6866010598	0.5173177968
150	0.6872634368	0.5170825068
151	0.6870741862	0.5170566997
152	0.6870741862	0.5170331659
153	0.6871214989	0.5168796378
154	0.6870741862	0.5166966579
155	0.6872161241	0.5165155379
156	0.6871688115	0.516429899
157	0.6879731264	0.5161091271
158	0.6879731264	0.5159897564
159	0.6879731264	0.5159897527
160	0.6882570023	0.5157340051
161	0.6885881908	0.5155167083
162	0.6885881908	0.5153965392
163	0.688682816	0.5149086734
164	0.6887301287	0.514904131
165	0.6887301287	0.5149041252
166	0.6889193793	0.5147948433
167	0.6889193793	0.5146102437
168	0.6890140045	0.5145228797
169	0.6893925057	0.5142937569
170	0.6893925057	0.5142937553
171	0.6891559425	0.5142910316
172	0.6891559425	0.5142910302
173	0.6898656321	0.5138106369
174	0.69000757	0.5135876412
175	0.6902441332	0.5134655232
176	0.6902441332	0.5133862879
177	0.6904806964	0.513268991
178	0.6908118849	0.5130522401
179	0.6907645723	0.5129260094
180	0.6910011355	0.5126736539
181	0.6910011355	0.5126736532
182	0.6911903861	0.5126175786
183	0.6914742619	0.5124044171
184	0.6914269493	0.5122364585
185	0.6916635125	0.5121342281
186	0.6916635125	0.5121303251
187	0.6918527631	0.5119997473
188	0.6919000757	0.5118531565
189	0.6917581378	0.5115770298
190	0.6920893263	0.5114529612
191	0.6921839516	0.5113420287
192	0.6923732021	0.5111644373
193	0.6924205148	0.5111637608
194	0.6923732021	0.5111552342
195	0.6926097653	0.5109462495
196	0.6926097653	0.5109351281
197	0.6926097653	0.5109223996
198	0.6924678274	0.5108720918
199	0.6923258895	0.5105342773
200	0.6928936412	0.5102403014
201	0.6930355791	0.5099861025
202	0.6932248297	0.5098297527
203	0.6936033308	0.509652438
204	0.6933667676	0.509456181
205	0.6933667676	0.5094554158
206	0.6935560182	0.5093074345
207	0.6940291446	0.5090956665
208	0.6947861469	0.5089822648
209	0.6949280848	0.5088637438
210	0.6950700227	0.5086732508
211	0.6950700227	0.5086732506
212	0.6954958365	0.5083743986
213	0.6954012112	0.5081437012
214	0.6953538986	0.5079354205
215	0.6955904618	0.5077064342
216	0.6958743376	0.5074560975
217	0.6959216503	0.5071320816
218	0.696347464	0.5069862698
219	0.6966786525	0.5067497743
220	0.697009841	0.5065612996
221	0.6970571537	0.5063592327
222	0.6972937169	0.5061759731
223	0.6971990916	0.5060836623
224	0.6975302801	0.5058220191
225	0.6980507192	0.5055788695
226	0.6980034065	0.5055394326
227	0.6979560939	0.505336667
228	0.6987604088	0.5050913298
229	0.6987604088	0.5048456007
230	0.6990442846	0.5047574486
231	0.6990442846	0.5044901156
232	0.6992808478	0.5042416751
233	0.6991389099	0.5039456176
234	0.6992808478	0.5036857987
235	0.6998012869	0.5033952325
236	0.6997539743	0.5030880606
237	0.6998959122	0.5029523468
238	0.7000851628	0.5027593758
239	0.700179788	0.5025212001
240	0.7003690386	0.5024147643
241	0.7005109765	0.5022336655
242	0.7010314156	0.5019529207
243	0.701504542	0.5017271638
244	0.7015518547	0.5015801384
245	0.7017411052	0.5013077545
246	0.7016464799	0.5012823626
247	0.7016937926	0.5010738835
248	0.7023088569	0.5008106861
249	0.7022615443	0.5005175453
250	0.7024034822	0.5003675419
251	0.7022615443	0.5002482725
252	0.7021196064	0.5000467199
253	0.7025454201	0.4998051972
254	0.7024034822	0.499580735
255	0.7024034822	0.4994359271
256	0.7024034822	0.4994359052
257	0.7024981075	0.4993002653
258	0.7027819833	0.4991332861
259	0.7028766086	0.4988942792
260	0.7028766086	0.498852554
261	0.7029239213	0.4986513666
262	0.7026873581	0.4985173784
263	0.7026400454	0.4984993285
264	0.7029712339	0.4982837003
265	0.7029239213	0.4981869964
266	0.7030658592	0.4980360852
267	0.7031604845	0.4977815077
268	0.7031131718	0.4975525891
269	0.7033970477	0.4973162981
270	0.7036336109	0.4971816214
271	0.7039174868	0.4969914747
272	0.7040594247	0.4968285354
273	0.7041067373	0.4965418825
274	0.704674489	0.4962884552
275	0.7046271764	0.496243656
276	0.7049110522	0.4959775135
277	0.7051949281	0.495810199
278	0.7051003028	0.4955832974
279	0.7051949281	0.495413506
280	0.7055734292	0.4951595012
281	0.7054788039	0.4949747417
282	0.7056207419	0.4947317567
283	0.7056680545	0.4944636663
284	0.7057626798	0.4943489885
285	0.7058099924	0.4941046804
286	0.7057153671	0.4939508401
287	0.7057153671	0.4938318998
288	0.7061884936	0.4935997648
289	0.7064723694	0.4933947027
290	0.7067089326	0.4931652077
291	0.7067089326	0.4930188524
292	0.7068508706	0.4927276383
293	0.7071347464	0.4925777396
294	0.707323997	0.4923204734
295	0.7072293717	0.4921951273
296	0.7075132475	0.4918587667
297	0.7079390613	0.4915760586
298	0.7082229372	0.4912447599
299	0.708506813	0.4910821621
300	0.7083648751	0.4910270496
301	0.7084121877	0.4908801149
302	0.7087433762	0.490651959
303	0.7090745647	0.490381114
304	0.70916919	0.4901377239
305	0.7092165026	0.4899951992
306	0.7092638153	0.4898579728
307	0.7094057532	0.48957689
308	0.7095950038	0.4892317801
309	0.7100681302	0.4890064257
310	0.7102573808	0.4888623071
311	0.7104466313	0.488675542
312	0.7103993187	0.4886662603
313	0.7104466313	0.4885958744
314	0.7104466313	0.4883661941
315	0.7103520061	0.4881721425
316	0.7106358819	0.4880247296
317	0.7107305072	0.4877641126
318	0.7106831945	0.4877260045
319	0.7106358819	0.4874458562
320	0.7103993187	0.4872710985
321	0.7106358819	0.487118595
322	0.7107778198	0.4869589492
323	0.7109197578	0.4867260392
324	0.7107305072	0.486646133
325	0.7113455715	0.486301394
326	0.7115348221	0.4861238392
327	0.7114875095	0.4860202641
328	0.7117240727	0.4857819505
329	0.7117713853	0.4855472821
330	0.7117713853	0.4854486324
331	0.7119133232	0.485269021
332	0.7119133232	0.4851107841
333	0.7118660106	0.4848677523
334	0.711818698	0.4848435358
335	0.7122445117	0.4846547575
336	0.7122918244	0.4845309953
337	0.7122918244	0.4842324494
338	0.712339137	0.4841109257
339	0.7124337623	0.4840749665
340	0.7127176382	0.4840148634
341	0.7127176382	0.4838744934
342	0.7127176382	0.4837070223
343	0.7125283876	0.4834992642
344	0.7124810749	0.4834267946
345	0.7127649508	0.4832196105
346	0.7130488266	0.4831235058
347	0.7130488266	0.4829863822
348	0.7132380772	0.4827892213
349	0.7134273278	0.4826882396
350	0.7134273278	0.4826095703
351	0.7137112036	0.4824126276
352	0.7133800151	0.4821430542
353	0.7138058289	0.4818717396
354	0.7138058289	0.4818145561
355	0.7139950795	0.4816315339
356	0.7140423921	0.4814034448
357	0.7140423921	0.4811448359
358	0.7140423921	0.480941084
359	0.7140897048	0.4808640046
360	0.7140423921	0.4807868347
361	0.7142316427	0.4805805086
362	0.714326268	0.4804405546
363	0.7143735806	0.4802900571
364	0.7146574565	0.480164216
365	0.7147520818	0.4798998339
366	0.714846707	0.4798058021
367	0.714988645	0.4796626767
368	0.7148940197	0.4794671918
369	0.7151305829	0.4792242896
370	0.7155563967	0.4789875493
371	0.7153671461	0.4788544553
372	0.7153198335	0.4786793595
373	0.7152252082	0.4785055649
374	0.7155563967	0.4783920942
375	0.715651022	0.4781684818
376	0.7156983346	0.478012132
377	0.7158402725	0.4778228911
378	0.7158402725	0.4776104564
379	0.7159348978	0.4774638736
380	0.7159348978	0.477292858
381	0.7161241484	0.4771288916
382	0.7160295231	0.4768694013
383	0.7164080242	0.4765856811
384	0.7165499621	0.476400928
385	0.7167865254	0.4761475098
386	0.7162187737	0.4758936668
387	0.7165026495	0.4757115565
388	0.7167865254	0.4754645493
389	0.7170704012	0.4752600464
390	0.7170230886	0.4750846441
391	0.7171650265	0.47494588
392	0.7173069644	0.4747623676
393	0.7176381529	0.4747012964
394	0.7176854656	0.4744309977
395	0.7178274035	0.4742683428
396	0.7179220288	0.4742196471
397	0.7177327782	0.4740818947
398	0.7178274035	0.4739536278
