iter	Passed	Remaining
0	78	39159
1	120	29910
2	203	33646
3	259	32125
4	318	31504
5	395	32584
6	477	33598
7	566	34845
8	646	35263
9	727	35647
10	810	36037
11	890	36204
12	967	36248
13	1011	35130
14	1095	35408
15	1178	35656
16	1258	35757
17	1338	35853
18	1390	35205
19	1468	35235
20	1502	34265
21	1583	34399
22	1663	34497
23	1709	33913
24	1743	33128
25	1821	33202
26	1863	32650
27	1905	32124
28	1987	32277
29	2065	32359
30	2144	32446
31	2228	32586
32	2308	32674
33	2385	32689
34	2465	32757
35	2543	32776
36	2622	32810
37	2698	32810
38	2780	32864
39	2810	32326
40	2889	32353
41	2917	31813
42	2996	31850
43	3076	31885
44	3151	31869
45	3236	31941
46	3316	31962
47	3393	31952
48	3474	31979
49	3547	31926
50	3623	31903
51	3656	31500
52	3731	31473
53	3811	31481
54	3886	31442
55	3965	31437
56	4051	31487
57	4131	31482
58	4211	31479
59	4287	31440
60	4365	31419
61	4451	31448
62	4532	31442
63	4612	31425
64	4690	31388
65	4771	31374
66	4797	31006
67	4881	31011
68	4961	30991
69	5043	30978
70	5121	30942
71	5200	30916
72	5277	30867
73	5356	30833
74	5441	30835
75	5522	30811
76	5609	30817
77	5688	30776
78	5769	30746
79	5850	30715
80	5882	30428
81	5961	30389
82	6041	30355
83	6071	30070
84	6152	30036
85	6232	30003
86	6263	29732
87	6354	29748
88	6388	29500
89	6470	29474
90	6552	29449
91	6641	29453
92	6679	29229
93	6778	29277
94	6871	29293
95	6904	29055
96	6998	29077
97	7079	29038
98	7163	29013
99	7263	29052
100	7360	29077
101	7468	29142
102	7506	28933
103	7586	28888
104	7632	28712
105	7659	28468
106	7741	28433
107	7825	28404
108	7855	28177
109	7934	28131
110	8019	28105
111	8099	28058
112	8178	28010
113	8249	27932
114	8354	27970
115	8456	27994
116	8485	27777
117	8522	27590
118	8605	27553
119	8688	27514
120	8774	27482
121	8855	27436
122	8934	27384
123	9018	27346
124	9103	27309
125	9186	27269
126	9265	27213
127	9332	27121
128	9374	26960
129	9462	26930
130	9547	26892
131	9629	26846
132	9706	26784
133	9781	26717
134	9858	26653
135	9918	26547
136	10000	26497
137	10041	26341
138	10065	26140
139	10103	25979
140	10183	25926
141	10261	25870
142	10286	25680
143	10327	25531
144	10410	25488
145	10491	25437
146	10569	25380
147	10648	25325
148	10681	25162
149	10784	25164
150	10870	25124
151	10927	25018
152	10993	24933
153	11073	24880
154	11154	24827
155	11246	24800
156	11328	24748
157	11412	24704
158	11491	24645
159	11514	24469
160	11599	24423
161	11682	24373
162	11757	24308
163	11836	24250
164	11869	24099
165	11896	23935
166	11975	23879
167	12053	23819
168	12130	23757
169	12207	23697
170	12231	23533
171	12261	23382
172	12284	23219
173	12365	23167
174	12453	23127
175	12532	23070
176	12607	23007
177	12683	22945
178	12760	22882
179	12840	22826
180	12916	22764
181	12940	22609
182	13017	22550
183	13104	22506
184	13187	22455
185	13269	22401
186	13299	22261
187	13377	22201
188	13463	22154
189	13556	22118
190	13657	22094
191	13758	22071
192	13856	22040
193	13883	21899
194	13919	21771
195	14003	21719
196	14048	21608
197	14096	21499
198	14180	21449
199	14263	21394
200	14345	21340
201	14429	21286
202	14515	21236
203	14599	21183
204	14684	21131
205	14714	21000
206	14795	20942
207	14881	20892
208	14961	20832
209	15041	20771
210	15119	20708
211	15145	20575
